,Text ID,Title,Negative,Neutral,Positive,Geopolitical Entities
3,6903,"Tehran, USA",0.0,1.0,0.0,Tehran; USA
6,7623,10 Ways America Is Preparing for World War 3,0.328,0.672,0.0,America
11,5743,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",0.302,0.605,0.093,Aleppo
14,7385,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",0.0,0.756,0.244,UK; Russia
16,9324,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,0.0,0.825,0.175,America
31,7540,Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,0.0,1.0,0.0,Detroit
34,6061,Truth Will Out Radio: The Laconia Incident,0.0,0.723,0.277,Laconia
38,7049,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,0.0,1.0,0.0,US
49,6763,Russia may run out of patience and respond to USA's rudeness,0.2,0.8,0.0,Russia; USA
56,9398,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,0.0,0.898,0.102,Russia
57,10427,"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",0.0,0.701,0.299,Russia; US
62,8122,Suspect captured in ‘ambush-style’ killings of two Iowa cops,0.489,0.511,0.0,Iowa
63,8988,Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,0.0,0.833,0.167,US
73,9468,Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,0.0,0.851,0.149,Maryland
76,6527,Shi’ite Militias Join Iraq’s Mosul Attack,0.333,0.43,0.237,Iraq; Mosul
77,9447,U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,0.078,0.782,0.14,US
79,7228,Are Tensions With Russia Even Real?,0.351,0.649,0.0,Russia
84,7474,Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,0.087,0.752,0.162,Britain
85,7661,"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",0.261,0.739,0.0,Aleppo
87,8210,Only Making Matters Worse in Syria,0.378,0.488,0.134,Syria
93,7757,Raqqa/Mosul: Politicians Fiddle As Middle East Burns,0.0,1.0,0.0,Raqqa
95,5297,Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,0.0,1.0,0.0,Russia
103,6035,UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,0.0,1.0,0.0,Strasbourg
104,9134,Justice Clarence Thomas Describes Washington DC As “Broken”,0.0,0.673,0.327,Washington DC
105,6407,"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",0.0,1.0,0.0,America
111,9948,US Airstrikes on Iraqi Army Slowing Advance on Mosul,0.0,1.0,0.0,US; Mosul
112,6058,"Clinton Camp Desperate, Russia Trains for WWIII",0.277,0.723,0.0,Russia
113,8767,Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,0.283,0.641,0.076,Syria
120,6698,The circus of liars - America's three rings of evil clowns,0.464,0.536,0.0,America
122,10048,"The role of the US and Nato in EU relations with China, by Manlio Dinucci",0.0,1.0,0.0,US; China
124,7892,Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,0.287,0.713,0.0,New York
132,9953,Exclusive: Siege of Islamabad,0.0,0.667,0.333,Islamabad
138,9044,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,0.0,0.826,0.174,North Carolina
139,6203,Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,0.343,0.657,0.0,Russia; Aleppo
141,6850,Pro-Palestinian Propaganda Lowering Standards of Truth in America,0.354,0.442,0.204,America
144,6801,China Airport Security Robot Gives Electroshocks,0.0,0.676,0.324,China
152,9283,John Oliver: America’s Increasingly Segregated Schools Are ‘Very Rarely Equal in Any Way’ (Video),0.0,1.0,0.0,America
155,9508,"Russia, India Discuss FGFA Advanced Fighter, Su-30MKI Upgrade",0.0,0.625,0.375,Russia; India
156,8197,BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY – TruthFeed,0.0,0.778,0.222,HILLARY
159,10246,Iraq’s Skies Darken as Islamic State Torches Oil,0.0,1.0,0.0,Iraq
164,5926,After Debate Duke Says USA becoming Banana Republic,0.0,1.0,0.0,USA
169,9340,Russia successfully tests its first-ever hypersonic weapon,0.212,0.481,0.308,Russia
171,7844,Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad,0.0,1.0,0.0,America
172,7928,The Path To Total Dictatorship: America’s “Shadow Government” And Its Silent Coup,0.0,1.0,0.0,America
175,6135,Comment on U.S. war with Iran has already begun by جنگ ارزی آمریکا علیه ایران / مورد مطالعاتی سال 1390 - کدآمایی,0.157,0.843,0.0,US; Iran
178,8263,David Duke wins Louisiana Senate Debate in Landslide despite BLM Riots,0.0,0.584,0.416,Louisiana
191,6429,#InNorthDakota ~~ PALESTINIANS STAND WITH THE SIOUX,0.0,1.0,0.0,InNorthDakota
192,6918,"ISIS Declares It Will kill Palestinians “One By One”’, Yet Remains Quiet On Israel",0.266,0.734,0.0,Israel
197,9251,US abstains from UN vote calling for end to Cuban embargo,0.0,1.0,0.0,US
198,8146,Young Turks Finds Out Why Trump Is About To Lose Utah For Republicans For First Time In Decades (VIDEO),0.13,0.87,0.0,Utah
213,6588,Will a No-Fly Zone Help the People of Aleppo?,0.0,0.748,0.252,Aleppo
214,9586,"Experts Recommend Breaking Down Crushing Defeats Into Smaller, More Manageable Failures - The Onion - America's Finest News Source",0.316,0.586,0.098,America
